id,word,defTh,defEn,type,ipa_us,ipa_uk,cefr,example,audioTh,audioEn,audio_example,image
141,alarm,"เตือนภัย, สัญญาณเตือน",a loud noise or a signal that warns people of danger or of a problem,noun,/əˈlɑːrm/,/əˈlɑːm/,B1,She decided to sound the alarm (= warn people that the situation was dangerous).,,,,141_b1_alarm.jpg
142,albeit,แม้ว่า,although,conjunction,/ˌɔːlˈbiːɪt/,/ˌɔːlˈbiːɪt/,C1,"He finally agreed, albeit reluctantly, to help us.",,,,142_c1_albeit.jpg
143,album,อัลบั้ม,"a book in which you keep photographs, stamps, etc.",noun,/ˈælbəm/,/ˈælbəm/,B1,a photo album,,,,
144,alcohol,"แอลกอฮอล์, เหล้า","drinks such as beer, wine, etc. that can make people drunk",noun,/ˈælkəhɔːl/,/ˈælkəhɒl/,B1,He never drinks alcohol.,,,,144_b1_alcohol.jpg
145,alcoholic,"ติดเหล้า, นักดื่ม",connected with or containing alcohol,adjective,/ˌælkəˈhɑːlɪk/,/ˌælkəˈhɒlɪk/,B1,alcoholic drinks/beverages,,,,
146,alert,เตือน,able to think quickly; quick to notice things,adjective,/əˈlɜːrt/,/əˈlɜːt/,C1,Suddenly he found himself awake and fully alert.,,,,146_c1_alert.jpg
147,alien,คนต่างด้าว,strange and frightening; different from what you are used to,adjective,/ˈeɪliən/,/ˈeɪliən/,C1,an alien environment,,,,147_c1_alien.jpg
148,align,จัดตำแหน่ง,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line",verb,/əˈlaɪn/,/əˈlaɪn/,C1,Make sure the shelf is aligned with the top of the cupboard.,,,,148_c1_align.jpg
149,alignment,การจัดตำแหน่ง,arrangement in a straight line,noun,/əˈlaɪnmənt/,/əˈlaɪnmənt/,C1,"the alignment of the sun, moon and earth at a particular time",,,,
150,alike,"คล้ายคลึงกัน, เหมือนกันในลักษณะที่สำคัญ",very similar,adjective,/əˈlaɪk/,/əˈlaɪk/,C1,My sister and I do not look alike.,,,,150_c1_alike.jpg
151,alive,"มีชีวิต, รอด",living; not dead,adjective,/əˈlaɪv/,/əˈlaɪv/,A2,Is your mother still alive?,,,,151_a2_alive.jpg
152,all,"ทั้งหมด, ทุก",completely,adverb,/ɔːl/,/ɔːl/,A2,She was dressed all in white.,,,,
153,all right,เรียบร้อยดี,acceptable; in an acceptable manner,adjective,/ɔːl ˈraɪt/,/ɔːl ˈraɪt/,A2,Is the coffee all right?,,,,
154,allegation,การกล่าวอ้าง (ที่ยังไม่ได้รับการพิสูจน์),"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal",noun,/ˌæləˈɡeɪʃn/,/ˌæləˈɡeɪʃn/,C1,to investigate/deny/withdraw an allegation,,,,
155,allege,กล่าวหา,to state something as a fact but without giving proof,verb,/əˈledʒ/,/əˈledʒ/,C1,"allege (that)…, The prosecution alleges (that) she was driving carelessly.",,,,155_c1_allege.jpg
156,allegedly,ถูกกล่าวหาว่า,expressed as though something is a fact but without giving any proof,adverb,/əˈledʒɪdli/,/əˈledʒɪdli/,C1,crimes allegedly committed during the war,,,,
157,alliance,พันธมิตร,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want",noun,/əˈlaɪəns/,/əˈlaɪəns/,C1,to form/make an alliance,,,,157_c1_alliance.jpg
158,allocate,จัดสรร,to give something officially to somebody/something for a particular purpose,verb,/ˈæləkeɪt/,/ˈæləkeɪt/,C1,"allocate something (for something), A large sum has been allocated for buying new books for the library.",,,,158_c1_allocate.jpg
159,allocation,การจัดสรร,"an amount of money, space, etc. that is given to somebody for a particular purpose",noun,/ˌæləˈkeɪʃn/,/ˌæləˈkeɪʃn/,C1,We have spent our entire allocation for the year.,,,,
160,allow,"อนุญาต, ยอมให้",to let somebody/something do something; to let something happen or be done,verb,/əˈlaʊ/,/əˈlaʊ/,A2,"allow somebody/something to do something, His parents won't allow him to stay out late.",,,,160_a2_allow.jpg
161,allowance,เบี้ยเลี้ยง,an amount of money that is given to somebody regularly or for a particular purpose,noun,/əˈlaʊəns/,/əˈlaʊəns/,C1,an allowance of $20 a day,,,,
162,ally,"พันธมิตร, สนับสนุน","a country that has agreed to help and support another country, especially in case of a war",noun,/ˈælaɪ/,/ˈælaɪ/,C1,our European/NATO allies,,,,162_c1_ally.jpg
163,almost,เกือบจะ,not quite,adverb,/ˈɔːlməʊst/,/ˈɔːlməʊst/,A2,I like almost all of them.,,,,
164,alone,"โดดเดี่ยว, คนเดียว",without any other people,adjective,/əˈləʊn/,/əˈləʊn/,A2,"not alone in, Tom is not alone in finding Rick hard to work with.",,,,164_a2_alone.jpg
165,along,"ตาม, พร้อม",forward,adverb,/əˈlɔːŋ/,/əˈlɒŋ/,A2,I was just walking along singing to myself.,,,,165_a2_along.jpg
166,alongside,"ข้างๆ, เคียงข้าง",next to or at the side of something,preposition,/əˌlɔːŋˈsaɪd/,/əˌlɒŋˈsaɪd/,B2,A police car pulled up alongside us.,,,,166_b2_alongside.jpg
167,already,"แล้ว, เสร็จแล้ว",before now or before a particular time in the past,adverb,/ɔːlˈredi/,/ɔːlˈredi/,A2,"‘Lunch?’ ‘No thanks, I've already eaten.’",,,,167_a2_already.jpg
168,also,"ด้วย, อีกด้วย",in addition; too,adverb,/ˈɔːlsəʊ/,/ˈɔːlsəʊ/,A1,She's fluent in French and German. She also speaks a little Italian.,,,,168_a1_also.jpg
169,alter,เปลี่ยนแปลง,to become different; to make somebody/something different,verb,/ˈɔːltər/,/ˈɔːltə(r)/,B2,Prices did not alter significantly during 2019.,,,,169_b2_alter.jpg
170,alternative,ทางเลือกอื่น,that can be used instead of something else,adjective,/ɔːlˈtɜːrnətɪv/,/ɔːlˈtɜːnətɪv/,B1,The road was closed so we had to find an alternative route.,,,,170_b1_alternative.jpg
171,although,"ถึงแม้ว่า, แม้ว่า",used for introducing a statement that makes the main statement in a sentence seem surprising,conjunction,/ɔːlˈðəʊ/,/ɔːlˈðəʊ/,A2,"Although the sun was shining, it wasn't very warm.",,,,171_a2_although.jpg
172,altogether,"ทั้งหมด, โดยสิ้นเชิง",(used to emphasize something) completely; in every way,adverb,/ˌɔːltəˈɡeðər/,/ˌɔːltəˈɡeðə(r)/,B2,The train went slower and slower until it stopped altogether.,,,,172_b2_altogether.jpg
173,aluminium,อลูมิเนียม,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc.",noun,/ˌæljəˈmɪniəm/,/ˌæljəˈmɪniəm/,C1,aluminium saucepans/window frames,,,,
174,always,"เสมอ, ตลอดเวลา",at all times; on every occasion,adverb,/ˈɔːlweɪz/,/ˈɔːlweɪz/,A1,There's almost always somebody at home in the evenings.,,,,174_a1_always.jpg
175,amateur,มือสมัครเล่น,"doing something for pleasure or interest, not as a job",adjective,/ˈæmətər/,/ˈæmətə(r)/,C1,an amateur photographer,,,,175_c1_amateur.jpg
176,amazed,"ประหลาดใจ, ทึ่ง",very surprised,adjective,/əˈmeɪzd/,/əˈmeɪzd/,B1,an amazed look,,,,
177,amazing,"น่าทึ่ง, มหัศจรรย์","very surprising, especially in a way that you like or admire",adjective,/əˈmeɪzɪŋ/,/əˈmeɪzɪŋ/,A1,an amazing feat/story/experience,,,,
178,ambassador,เอกอัครราชทูต,an official who lives in a foreign country as the senior representative there of their own country,noun,/æmˈbæsədər/,/æmˈbæsədə(r)/,C1,the British Ambassador to Italy/in Rome,,,,178_c1_ambassador.jpg
179,ambition,"ความทะเยอทะยาน, ความมุ่งมั่น",something that you want to do or achieve very much,noun,/æmˈbɪʃn/,/æmˈbɪʃn/,B1,She had fulfilled her lifelong ambition.,,,,179_b1_ambition.jpg
180,ambitious,ที่ทะเยอทะยาน,"determined to be successful, rich, powerful, etc.",adjective,/æmˈbɪʃəs/,/æmˈbɪʃəs/,B1,a fiercely ambitious young manager,,,,180_b1_ambitious.jpg
181,ambulance,รถพยาบาล,"a vehicle with special equipment, used for taking sick or injured people to a hospital",noun,/ˈæmbjələns/,/ˈæmbjələns/,B2,Call an ambulance!,,,,181_b2_ambulance.jpg
182,amend,"แก้ไข (กฎหมาย, ข้อผิดพลาดอย่างเป็นทางการ), ปรับปรุง","to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it",verb,/əˈmend/,/əˈmend/,C1,He asked to see the amended version.,,,,182_c1_amend.jpg
183,amendment,การแก้ไขเพิ่มเติม (กฎหมาย/เอกสาร),a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law,noun,/əˈmendmənt/,/əˈmendmənt/,C1,to introduce/propose/table an amendment (= to suggest it),,,,
184,amid,ในหมู่,"in the middle of or during something, especially something that causes excitement or fear",preposition,/əˈmɪd/,/əˈmɪd/,C1,He finished his speech amid tremendous applause.,,,,184_c1_amid.jpg
185,among,"ในหมู่, ท่ามกลาง",surrounded by somebody/something; in the middle of somebody/something,preposition,/əˈmʌŋ/,/əˈmʌŋ/,A2,a house among the trees,,,,185_a2_among.jpg
186,amount,"จำนวน, ปริมาณ",a quantity of something,noun,/əˈmaʊnt/,/əˈmaʊnt/,A2,I was amazed at the amount he could eat.,,,,186_a2_amount.jpg
187,amusing,"น่าขบขัน, สนุก",funny and giving pleasure,adjective,/əˈmjuːzɪŋ/,/əˈmjuːzɪŋ/,B2,an amusing story/game/incident,,,,
188,analogy,การเปรียบเทียบเชิงอุปมาอุปไมย,a comparison of one thing with another thing that has similar features; a feature that is similar,noun,/əˈnælədʒi/,/əˈnælədʒi/,C1,"analogy (between A and B), The teacher drew an analogy between the human heart and a pump.",,,,
189,analyse,"วิเคราะห์, พิจารณา","to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it",verb,/ˈænəlaɪz/,/ˈænəlaɪz/,B1,"analyse something, The job involves collecting and analysing data.",,,,
190,analysis,การวิเคราะห์,the detailed study or examination of something in order to understand more about it; the result of the study,noun,/əˈnæləsɪs/,/əˈnæləsɪs/,B1,statistical/data analysis,,,,
191,analyst,นักวิเคราะห์,a person whose job involves examining facts or materials in order to give an opinion on them,noun,/ˈænəlɪst/,/ˈænəlɪst/,B2,a political/financial analyst,,,,
192,ancestor,"บรรพบุรุษ, โคตรเหง้า",a person in your family who lived a long time ago,noun,/ˈænsestər/,/ˈænsestə(r)/,B2,His ancestors had come to America from Ireland.,,,,192_b2_ancestor.jpg
193,anchor,สมอ,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place,noun,/ˈæŋkər/,/ˈæŋkə(r)/,C1,to drop anchor,,,,193_c1_anchor.jpg
194,ancient,"โบราณ, เก่าแก่",belonging to a period of history that is thousands of years in the past,adjective,/ˈeɪnʃənt/,/ˈeɪnʃənt/,A2,Archaeologists are excavating the ruined temples of this ancient civilization.,,,,194_a2_ancient.jpg
195,and,"และ, กับ",also; in addition to,conjunction,/ənd/,/ənd/,A1,bread and butter,,,,
196,angel,นางฟ้า,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings.",noun,/ˈeɪndʒl/,/ˈeɪndʒl/,C1,a host of angels,,,,
197,anger,"ความโกรธ, โกรธ",the strong feeling that you have when something has happened that you think is bad and unfair,noun,/ˈæŋɡər/,/ˈæŋɡə(r)/,B2,She had to find a way to express her pent-up anger.,,,,
198,angle,"มุม, เหลี่ยม","the space between two lines or surfaces that join, measured in degrees",noun,/ˈæŋɡl/,/ˈæŋɡl/,B2,a 45° angle,,,,198_b2_angle.jpg
199,angry,"โกรธ, โมโห",having strong feelings about something that you dislike very much or about an unfair situation,adjective,/ˈæŋɡri/,/ˈæŋɡri/,A1,Her behaviour really made me angry.,,,,
200,animal,"สัตว์, เดรัจฉาน","a creature that is not a bird, a fish, a reptile, an insect or a human",noun,/ˈænɪml/,/ˈænɪml/,A1,the animals and birds of South America,,,,200_a1_animal.jpg
201,animation,แอนิเมชั่น,"the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move",noun,/ˌænɪˈmeɪʃn/,/ˌænɪˈmeɪʃn/,B2,computer/cartoon animation,,,,
